time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2008/5/28,215,4,0,3.655813953,0.674418605,17,34,3,,,,,,
2008/5/29,193,5,0,3.96373057,0.321243523,17,15,3,,,,,,
2008/5/30,176,6,0,4.022727273,0.329545455,20,13,3,,,,,,
2008/5/31,93,7,1,3.946236559,0.204301075,8,4,1,,,,,,
2008/6/1,84,1,1,3.80952381,0.25,8,5,1,,,,,,
2008/6/2,158,2,0,3.955696203,0.386075949,9,14,2,,,,,,
2008/6/3,169,3,0,3.828402367,0.325443787,17,14,2,,,,,,
2008/6/4,160,4,0,4.05,0.33125,9,13,2,,,,,,
2008/6/5,219,5,0,3.96347032,0.214611872,14,12,3,,,,,,
2008/6/6,139,6,0,3.856115108,0.251798561,8,8,2,,,,,,
2008/6/7,98,7,1,4.12244898,0.12244898,9,3,1,,,,,,
2008/6/8,87,1,1,4.011494253,0.091954023,9,2,1,,,,,,
2008/6/9,171,2,0,3.637426901,0.573099415,9,23,3,,,,,,
2008/6/10,178,3,0,4.02247191,0.196629213,18,9,3,,,,,,
2008/6/11,202,4,0,4.04950495,0.247524752,15,12,3,,,,,,
2008/6/12,218,5,0,3.926605505,0.275229358,18,14,3,,,,,,
2008/6/13,161,6,0,4,0.316770186,15,11,2,,,,,,
2008/6/14,90,7,1,4.088888889,0.144444444,11,3,1,,,,,,
2008/6/15,92,1,1,4,0,9,0,1,,,,,,
2008/6/16,184,2,0,4.076086957,0.25,17,11,3,,,,,,
2008/6/17,243,3,0,4.135802469,0.0781893,29,5,3,,,,,,
2008/6/18,427,4,0,4.035128806,0.084309133,43,9,3,,,,,,
2008/6/19,344,5,0,3.944767442,0.186046512,33,15,3,,,,,,
2008/6/20,274,6,0,3.791970803,0.208029197,19,14,3,,,,,,
2008/6/21,157,7,1,4.152866242,0.108280255,15,4,2,,,,,,
2008/6/22,140,1,1,4.114285714,0.057142857,18,2,2,,,,,,
2008/6/23,221,2,0,4.085972851,0.212669683,29,11,3,,,,,,
2008/6/24,241,3,0,4.082987552,0.298755187,26,17,3,,,,,,
2008/6/25,220,4,0,3.972727273,0.190909091,17,10,3,,,,,,
2008/6/26,210,5,0,3.938095238,0.2,12,10,3,,,,,,
2008/6/27,216,6,0,3.967592593,0.166666667,20,8,3,,,,,,
2008/6/28,102,7,1,3.754901961,0.107843137,4,3,1,,,,,,
2008/6/29,97,1,1,3.711340206,0.072164948,9,2,1,,,,,,
2008/6/30,198,2,0,3.974747475,0.191919192,15,9,3,,,,,,
2008/7/1,238,3,0,4.008403361,0.352941176,25,21,3,,,,,,
2008/7/2,228,4,0,4.131578947,0.263157895,26,14,3,,,,,,
2008/7/3,194,5,0,3.963917526,0.092783505,20,4,3,,,,,,
2008/7/4,140,6,0,3.95,0.142857143,13,5,2,,,,,,
2008/7/5,85,7,1,4.035294118,0.117647059,8,3,1,,,,,,
2008/7/6,89,1,1,4.033707865,0.101123596,7,2,1,,,,,,
2008/7/7,162,2,0,3.99382716,0.333333333,12,13,2,,,,,,
2008/7/8,212,3,0,3.981132075,0.212264151,25,10,3,,,,,,
2008/7/9,219,4,0,4.03652968,0.351598174,21,17,3,,,,,,
2008/7/10,185,5,0,4,0.124324324,17,5,3,,,,,,
2008/7/11,160,6,0,4.06875,0.20625,14,7,2,,,,,,
2008/7/12,84,7,1,4.19047619,0.202380952,17,4,1,,,,,,
2008/7/13,127,1,1,3.866141732,0.188976378,9,6,2,,,,,,
2008/7/14,169,2,0,3.934911243,0.207100592,12,9,2,,,,,,
2008/7/15,150,3,0,3.826666667,0.086666667,18,3,2,,,,,,
2008/7/16,213,4,0,4.042253521,0.145539906,15,8,3,,,,,,
2008/7/17,244,5,0,4.053278689,0.418032787,20,24,3,,,,,,
2008/7/18,204,6,0,3.857843137,0.299019608,12,15,3,,,,,,
2008/7/19,100,7,1,3.92,0.15,14,4,1,,,,,,
2008/7/20,102,1,1,3.950980392,0.352941176,16,8,1,,,,,,
2008/7/21,167,2,0,3.832335329,0.19760479,8,9,2,,,,,,
2008/7/22,200,3,0,3.965,0.175,15,9,3,,,,,,
2008/7/23,153,4,0,3.836601307,0.104575163,10,4,2,,,,,,
2008/7/24,180,5,0,3.855555556,0.1,17,4,3,,,,,,
2008/7/25,145,6,0,3.917241379,0.282758621,17,11,2,,,,,,
2008/7/26,79,7,1,4.227848101,0.189873418,13,4,1,,,,,,
2008/7/27,75,1,1,4.146666667,0.253333333,5,5,1,,,,,,
2008/7/28,111,2,0,3.90990991,0.243243243,9,7,1,,,,,,
2008/7/29,130,3,0,3.9,0.092307692,14,2,2,,,,,,
2008/7/30,136,4,0,4.007352941,0.235294118,16,7,2,,,,,,
